"Orgname1","address"
"SENECA FALLS COMMUNITY LITTLE LEAGU","PO BOX 216, SENECA FALLS, NY  13148"
"SOUTH TEXAS INDIAN MOTORCYCLE RIDER","2937 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX  78415"
"DEEP ROOTED NAPA VALLEY","PO BOX 2404, NAPA, CA  94558"
"HEALING PATHWAY VICTIM SERVICE AGEN","3361 SW KESSLER DR UNIT 2212, LEES SUMMIT, MO  64081"
"COALFIELD YOUTH SPORTS INC","110 JUSTICE ST, LOGAN, WV  25601"
"PLYMOUTH COUNTY CYCLISTS INC","PO BOX 511, LE MARS, IA  51031"
"BACKPACK BED FOR HOMELESS INC","415 N CHURCH ST APT 1711, NASHVILLE, TN  37219"
"BREAD AGAINST MISERY FOUNDATION INC","1111 BRICKELL AVENUE SUITE 2325, MIAMI, FL  33131"
"CELL2CELL INC","1460 BROADWAY, NEW YORK, NY  10036"
"MCCANN ALUMNI ASSOCIATION INC","70 HODGES CROSS ROAD, NORTH ADAMS, MA  1247"
"GLOBAL LEGACY CENTRE","PO BOX 123, TENNILLE, GA  31089"
"WILD AT HEART","123 SIR TURNER DRIVE, COLD CREEK, NV  89124"
"ROSS COUNTY HORSESHOE PITCHER ASSOC","1615 HANNA LANE, LONDONDERRY, OH  45647"
"SOUTHWESTERN  SOCCER CLUB  INC","BOX 94, LAKEWOOD, NY  14750"
"ANGEL MISSION MINISTRY INC","165 SAVANNAH TRAIL, EUBANK, KY  42567"
"GRAYSLAKE ARTS ALLIANCE INC","1189 BLACKBURN DRIVE, GRAYSLAKE, IL  60030"
"EVOLUTION OF HOPE","13964 EDGEWATER CT, PLAINFIELD, IL  60544"
"ROCKSTAR CHEER JACKSONVILLE BOOSTER","5250 BOWDEN ROAD STE 201, JACKSONVILLE, FL  32216"
"SONS OF THE AMERICAN LEGION DISTRIC","1925 BANANA ST, PORT CHARLOTTE, FL  33980"
"CONNECTED YORK COUNTY INC","3229 GRANDVIEW ROAD, HANOVER, PA  17331"
"LANGFORD HOMESCHOOL COLLECTIVE","9413 BATAAN ST NE, BLAINE, MN  55449"
"BUSINESS ACCOUNTING AND TECHNOLOGY","2851 WEST 120TH STREET  E-575, HAWTHORNE, CA  90250"
"FRIENDS OF HISTORIC HALIFAX INC","PO BOX 406, HALIFAX, NC  27839"
"ALLEGHENY RIVER TRAIL IN CLARION CO","132 ANTON LANDING DR PO BOX 325, FOXBURG, PA  16036"
"VENAS SIN FRONTERAS","2126 EUREKA WAY, REDDING, CA  96001"
"ZMA LEGAL FOUNDATION","500 LAKE COOK ROAD SUITE 350, DEERFIELD, IL  60015"
"ROBERT AND AUDRA CHRISTIE FOUNDATIO","7177 TUMBLEBROOK DRIVE, NEW ALBANY, OH  43054"
"NJ EMS CHIEFS ASSOCIATION","44 TUPELO DRIVE, OLD BRIDGE, NJ  8857"
"THE EMPOWERED KITCHEN INC","165 WELLS ROAD SUITE 304, ORANGE PARK, FL  32073"
"WEALTH EMPOWERMENT ADVOCACY NETWORK","23800 GARLAND COURT, VALENCIA, CA  91354"
"CITY KIDZ PLAYHOUSE","182 W 26TH STREET, BAYONNE, NJ  7002"
"TIMBER MESA FIRE AND MEDICAL DISTRI","3561 E DEUCE OF CLUBS, SHOW LOW, AZ  85901"
"WITHLACOOCHEE ROCKHOUNDS CORP","5634, SPRING HILL, FL  34611"
"SUCH A TIME INC","PO BOX 403, ROXTON, TX  75477"
"EQUALITY LAB","WEWORK PDC 750 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA  90069"
"OHIO CENTER FOR JUSTICE INC","7110 STEMEN RD, PICKINGTON, OH  43147"
"CARBON COMMUNITY CENTER","508 B STREET, CARBON, IA  50839"
"DIRTY WATERS CHAPTER OF THEDEFIANT ","386 TRULL RD, TEWKSBURY, MA  1876"
"DIVINELY FAVORED MINISTRIES","25930 ROLLING HILLS RD UNIT 419, TORRANCE, CA  90505"
"ALL IS WELL FOUNDATION","45-033 LILIPUNA RD, KANEOHE, HI  96744"
"GRAND RAPIDS CLUB OF THE NANBPWC IN","1629 OLD TOWN RD SE, GRAND RAPIDS, MI  49508"
"DEL NORTE AMATEUR RADIO CLUB","300 TEDSEN LANE, CRESCENT CITY, CA  95531"
"ALL AMERICAN COACHES ASSOCIATION","2626 SOUTH LOOP W STE 426, HOUSTON, TX  77054"
"GIRLS INTO FITNESS AND TECHNOLOGY","2623 LUCAS DRIVE, DALLAS, TX  75219"
"DIVINE IDENTITY MOVEMENT INC","11011 HARTS RD APT 1315, JACKSONVILLE, FL  32218"
"PATRICKS PURPOSE FOUNDATION","2041 PORT BRISTOL CIRCLE, NEWPORT BEACH, CA  92660"
"RAPTOR WRESTLING","911 N MARTIN RD, HELPER, UT  84526"
"OAKLAND COUNTY EARTH SCIENCE CLUB","5640 WILLIAMS LAKE RD, WATERFORD, MI  48329"
"MORRIS HILLS BOWLING BOOSTER CLUB","520 W MAIN STREET, ROCKAWAY, NJ  7866"
"BOY SCOUTS OF AMERICA TROOP 1548","13425 TREY LANE, CLIFTON, VA  20124"
"LONE STAR PAWS 4 A CAUSE","26739 SHADOW PASS, SAN ANTONIO, TX  78260"
"RED MILL WATER WHEEL FOUNDATION INC","N2190 CTY RD K, WAUPACA, WI  54981"
"MT OLIVE FAITH DELIVERANCE CHURCH O","PO BOX 3555, TEQUESTA, FL  33469"
"FRIENDS OF THE FORT LAUDERDALE LIBR","100 SOUTH ANDREWS AVE, FORT LAUDERDALE, FL  33301"
"NEWGRIT","920 E HALEY ST, SANTA BARBARA, CA  93101"
"UPPER PERKIOMEN TAKEDOWN CLUB","PO BOX 31, RED HILL, PA  18073"
"TEAM 54 PROJECT INTERNATIONAL","13703 RUTHER AVENUE SOUTH GATE, LOS ANGELES, CA  90280"
"JG WHITTIER EDUCATION CAMPUS PARENT","24 UNDERWOOD PLACE NW, WASHINGTON, DC  20012"
"PINETOP-LAKESIDE POLICE ASSOCIATION","1360 N NEILS HANSEN LANE, LAKESIDE, AZ  85929"
"FOR THE WILD COLLECTIVE","39800 WILDERNESS LODGE ROAD, BRANSCOMB, CA  95417"
"SPEED SKILLS TRACK CLUB INC","1815 BOYNTON AVE, WESTFIELD, NJ  7090"
"GREENFIELD JR HIGH SCHOOL PTRO","101 S GREENFIELD ROAD, GILBERT, AZ  85296"
"REIMAGINING CHARITY INC","2961 E PONDEROSA LANE, HAYDEN LAKE, ID  83835"
"TGIN FOUNDATION","910 W VAN BUREN STREET SUITE 100, CHICAGO, IL  60607"
"THE CANINE CHAPTER INC","PO BOX 8147, FORT SMITH, AR  72902"
"HIVES FOR HEROES","919 OAK ST, HOUSTON, TX  77018"
"ARLINGTON FOODIES NONPROFIT INC","208 N OAK ST, ARLINGTON, TX  76011"
"FAITH AND FAMILY HOSPICE FOUNDATION","1155 15TH STREET NW SUITE 700, WASHINGTON, NJ  20005"
"FREEDOM FROM COMMUNISM FOUNDATION","7001 CORPORATE DR STE 205, HOUSTON, TX  77036"
"GRACIES HOUSE CHARITIES","5914 EVERGREEN WAY UNIT D, EVERETT, WA  98203"
"SWEET A LITERARY CONFECTION INC","10144 ARBOR RUN DRIVE UNIT 157, TAMPA, FL  33647"
"WISE WOMEN DEVELOPMENT CENTER","14637 KIMBARK AVENUE, DOLTON, IL  60419"
"HELP NEWBORNS THRIVE INC","2095  EXETER ROAD SUITE 80, GERMANTOWN, TN  38138"
"CROSSING BLUE BRIDGES","8647 NW 21ST STREET, SUNRISE, FL  33322"
"ARIZONA BIOMEDICAL SCIENCES AND ENG","451 S HAWES ROAD UNIT 45, MESA, AZ  85208"
"MONETTE CHILDRENS ENRICHMENT FUND","526 E CHURCH ST, WILLIAMSTON, MI  48895"
"CARDBOARDSIGNPROJECT","1 CLUB LN, LITTLETON, CO  80123"
"TALLADEGA COLLEGE NATIONAL ALUMNI A","1959 S CRESCENT HEIGHTS BLVD, LOS ANGELES, CA  90034"
"ABILENE HURRICANES","1109 BELL PLAINS RD, ABILENE, TX  79606"
"KELLOGG ALUMNI CLUB - SUBURBAN CHIC","1660 DARTMOUTH COURT, NAPERVILLE, IL  60565"
"THE COLLO COMMUNITY ASSOCIATION OF","PO BOX 111545, MEMPHIS, TN  38111"
"MANARA FOUNDATION","17 SCHENCK LANE, SOMERSET, NJ  8873"
"US YANTAI ASSOCIATION OF ECONOMY AN","444 E HUNTINGTON DR STE 218, ARCADIA, CA  91006"
"LET THEM BE LITTLE INC","21124 MAIN STREET, SHADE GAP, PA  17255"
"SHAGTIME YOUTH FOUNDATION","200 HYLAN AVE, HAMLET, NC  28345"
"THE SUPERMAN FOUNDATION","14 BEACON COURT, HOLMDEL, NJ  7733"
"CITY OF FALLS CHURCH LAW ENFORCEMEN","300 PARK AVE, FALLS CHURCH, VA  22046"
"SPIRITS LANDING INC","8549 WILSHIRE BLVD SUITE 1429, BEVERLY HILLS, CA  90211"
"FORT BRAGG GARDEN CLUB","P O BOX 492, FORT BRAGG, CA  95437"
"TEAM FACTORY","9855 S 140TH STREET, OMAHA, NE  68138"
"SAN ANTONIO CITY FOOTBALL CLUB","3842 SUMANTRA CLIFF, SAN ANTONIO, TX  78261"
"GUY ANTHONY SPELLS SR SCHOLARSHIP F","GAS NP 611 NORTH FIFTH STREET, NASHVILLE, TN  37207"
"BETTER BLACK","1193 8TH STREET, OAKLAND, CA  94607"
"KETCHAM FOOTBALL BOOSTER CLUB INC","10 CARROLL DRIVE, WAPPINGERS FALLS, NY  12590"
"CENTER FOR JUDICIAL REFORM INC","PO BOX 243, TUCKAHOE, NY  10707"
"A WAY TO RUN","21820 SW AEBISCHER RD, SHERWOOD, OR  97140"
"CREAM CITY INC","8315 HIGHGATE DR, JACKSONVILLE, FL  32216"
"GUNAA - METROPOLITIAN DFW CHAPTER","PO BOX 182303, ARLINGTON, TX  76096"
"OLD HILLIARD INC","3971 MAIN ST, HILLIARD, OH  43026"
"CITIZENS COMMENT INC","2211 N KENMORE STREET, ARLINGTON, VA  22201"
"EDGEWOOD PROJECT GRADUATION INC","180 E MERRITT AVE, MERRITT ISLAND, FL  32953"
"JACKSONVILLE FLORIDA SCHOOL OF THE ","2336 LIBERTY STREET, JACKSONVILLE, FL  32206"
"SERVANTS OF THE REDEMPTOR INC","3600 CONSERVATION DR, EVANSVILLE, IN  47712"
"37C CHARITIES","120 BIRMINGHAM DR STE 130, CARDIFF, CA  92007"
"BRAS FOR ALL","PO BOX 42163, CINCINNATI, OH  45242"
"THE BREAKAWAY LEARNING PROJECT INC","1148 EAST PITTSTON ROAD, PITTSTON, ME  4345"
"SUNNYS WAY HOME","W5259 SOUTH COURT, SHAWANO, WI  54166"
"THE URBAN FILM GROUP INC","1260 BURKE AVE, BRONX, NY  10469"
"RAIDERS ATHLETIC BOOSTER ASSOCIATIO","100 HULTON ROAD, OAKMONT, PA  15139"
"TV FAMILIA INC","5769 NW 113 CT, DORAL, FL  33178"
"FREEHAND ARTS PROJECT","3225 VILLANOVA ST, DALLAS, TX  75225"
"MACKEY AWARDS FOUNDATION INC","965 OCEAN AVE, BALDWIN, NY  11510"
"DREAM DAYS","431 THRIFT ROAD, MALIBU, CA  90265"
"NSBE PROFESSIONAL BATON ROUGE","1531 PECAN CROSSING AVE, ZACHARY, LA  70791"
"YOU RE NOT FORGOTTEN","637 ROCHELLE DRIVE, NASHVILLE, TN  37220"
"MISSOURI LIONS EYE MISSION FOUNDATI","128 LAKE WASHINGTON DR, WASHINGTON, MO  63090"
"THE HNH SANCTUARY","12174 ALISON DR, SANTA ROSA VALLEY, CA  93012"
"MMK ENTERPRISES INC","152 DARSEY RD, CAIRO, GA  39828"
"GOD AND GOALS INC","1836 ROSWELL STREET SE STE 10604, SMYRNA, GA  30080"
"TURLOCK POLICE K9 ASSOCIATION","244 N BROADWAY, TURLOCK, CA  95380"
"SAFE AT HOME FOUNDATION","2625 S 150TH ST, SEATAC, WA  98188"
"MUSIC MENTOR NETWORK INC","2351 SW 16TH COURT, MIAMI, FL  33145"
"MINISTERIO MISION ESPERANZA INC","3677 CNETRAL AVE UNIT E, FORT MYERS, FL  33901"
"YOGA PROJECT SARASOTA  INC","1430 HARBOR DRIVE, SARASOTA, FL  34239"
"INNER-CITY NEEDS","738 E 69TH STREET, CHICAGO, IL  60637"
"LOMA VISTA MIDDLE SCHOOL PTO","11050 ARLINGTON AVE, RIVERSIDE, CA  92505"
"CENTERVILLE ATHLETIC BOOSTER CLUB I","600 CHS DRIVE, CENTERVILLE, IA  52544"
"GREGORYS GIFT","227 FOREST AVENUE, PITTSBURGH, PA  15202"
"BEACON ON THE HILL INC","19 VFW DRIVE, LINCOLN, ME  4457"
"CONAXION INC","337 W LIME AVENUE, MONROVIA, CA  91016"
"GRIECO PTO","50 DURIE AVE, ENGLEWOOD, NJ  7631"
"CREATING ABILITIES FOUNDATION INC","13121 SW 82ND STREET, MIAMI, FL  33183"
"FAMILY FIRST COMMUNITY OUTREACH SER","14611 SOUTHERN BLVD  412, LOXAHATCHEE, FL  33414"
"WINTHEDAY PROJECT","P O BOX 446, PROSPER, TX  75078"
"ACTS 17 28 DANCE INC","8373 SOUTH 100TH STREET, FRANKLIN, WI  53132"
"SNAKES ALIVE RESCUE LTD","241 HAMILTON CT, MCLOUD, OK  74851"
"TIME OF THE MONTH CLUB INC","3269 N SUMMIT AVE, MILWAUKEE, WI  53211"
"ELYSIAN ACRES EQUINE RESCUE INC","721 CAVE SPRINGS RD, SMITHLAND, KY  42081"
"ICAN","17328 121ST LANE SE SUITE TT302, RENTON, WA  98058"
"TO GOD BE THE GLORY DBA UPPER ROOM ","1221 MAIN STREET SECOND FLOOR, WEST WARWICK, RI  2893"
"BEE HAPPY WELLNESS INC","14 LAVERNE COURT, WHARTON, NJ  7885"
"IXONIA VOLUNTEER FIREMANS ASSOCIATI","PO BOX 167, IXONIA, WI  53036"
"SILENT CRIES","5225 SUPERIOR AVE APT 403, CLEVELAND, OH  44103"
"SPECIAL DREAMS UNITED","6119 TACOMA AVE S, TACOMA, WA  98408"
"JARENS ANGELS FOUNDATION","PO BOX 945, ROWLETT, TX  75030"
"SONS OF THE SPIRIT","525 WOODRUFF ROAD, GREENVILLE, SC  29607"
"BLADENSBURG YOUTH BASEBALL LEAGUE","PO BOX 224, MARTINSBURG, OH  43037"
"HAWKINS WOODS DISC GOLF INC","44 LANDAU ROAD, PLAINVILLE, MA  2762"
"AIDING FAMILIES OF WRONGFULLY IMPRI","22016, BROOKLYN, NY  11202"
"DIABETES SOLUT1ONS","4782 TRAILVIEW, WEST BLOOMFIELD, MI  48322"
"KAREVISION CARES INC","32455 W 12 MILE RD UNIT 2983, FARMINGTON HILLS, MI  48333"
"YOURGREYMATTERS INC","444 HARDEE ROAD, CORAL GABLES, FL  33146"
"THE FAIRCOSA FOUNDATION","4296 E 167TH ST, CLEVELAND, OH  44128"
"JT - NEVER GIVE UP FOUNDATION","593 5TH ST, SONOMA, CA  95476"
"BATTLETOWN COMMUNITY PARK  INC","PO BOX 73, BATTLETOWN, KY  40104"
"LIGHT & ACHIEVEMENT EDUCATIONAL FOU","12523 LIMONITE AVE   STE 440-382, EASTVALE, CA  91752"
"LOOK THROUGH MY EYES INC","4230 NW 21 STREET  APT 239, LAUDERHILL, FL  33313"
"OWO PROGRESSIVE OF GEORGIA  INCORPO","8572 LAKEMEADOW DRIVE, UNION CITY, GA  30291"
"GLASGOW WRESTLING ACADEMY AND FITNE","4550 LEWIS ROAD SUITE 600, TUCKER, GA  30084"
"EARL AND MARY HENDRICKS MINISTRIES ","8005 LAKESIDE WAY, FORT PIERCE, FL  34951"
"HEARTLAND FLY FISHING FESTIVAL INC","4652 WINTERSTILL, ZIONSVILLE, IN  46077"
"WESOS FOUNDATION INC","4711 GOLF RD SUITE 1125, SKOKIE, IL  60076"
"VETSTRONG","2826 PEPPERMILL RUN, SAN ANTONIO, TX  78231"
"SUMMIT TIGERS MOUNTAIN BIKE TEAM","0103 BLUE FLAG DRIVE, BRECKENRIDGE, CO  80424"
"LIFE AND VISION INTERNATIONAL INC","1091 HILTON PARMA CORNERS RD, HILTON, NY  14468"
"SOLIDARITY NOT CHARITY","PO BOX 4650, GRAND JUNCTION, CO  81502"
"SHIELDED SOULS LE-MC REBEL CREW","6040 DUDLEY ST, TAYLOR, MI  48180"
"NEW YORK CITY AUTO REPAIR ASSOCIATI","8 THE GREEN, DOVER, DE  19901"
"VETERANS 4 A CAUSE INC","1064 W NEWBURY STREET, CITRUS SPRINGS, FL  34434"
"ALL VETERANS CENTER INC","1230 N SCENIC HWY, LAKE WALES, FL  33853"
"THE GABRIELLA BOYD MEMORIAL FOUNDAT","32 WHITE OAK STREET - APT 2, NEW ROCHELLE, NY  10801"
"MAMENIAS CLOSET INC","6674 TRAQUAIR PLACE, DUBLIN, OH  43016"
"COWS COME HOME SANCTUARY","1704 BEACON ROAD, TALBOTT, TN  37877"
"PUTNAM COUNTY RE-ENTRY PROGRAM","820-2 REID STREET, PALATKA, FL  32177"
"BUCKS COUNTY GIRLS SOFTBALL LEAGUE","10 IVORY ROCK RD, LEVITTOWN, PA  19057"
"CITIZENS IMMIGRATION AND REFUGEE AC","PO BOX 1491, LANCASTER, PA  17608"
"THE ARIZONA WOMENS HALL OF FAME INC","126 EAST NORTHVIEW AVENUE, PHOENIX, AZ  85020"
"YOUTH PASTORS COALITION","1861 COOPER FIELDS DRIVE, NASHVILLE, NC  27856"
"UNDERDAWGS SKILLZ","4309 DEHAVEN DR, WICHITA FALLS, TX  76302"
"TOTAL PERFECTION OUTREACH INC","2020 S COMBEE RD STE 3, LAKELAND, FL  33801"
"IC HAITI OUTREACH MINISTRY","1695 CENTRAL AVE, MEMPHIS, TN  38104"
"THERES HOPE MINISTRIES INC","10961 GOSSAMER LN, NOBLESVILLE, IN  46060"
"MORNING CREW INTERNATIONAL CHRISTIA","6120 BREEZEWOOD DR APT 302, GREENBELT, MD  20770"
"MAGIC LANTERN CINEMA","BOX 1957 155 GEORGE ST, PROVIDENCE, RI  2919"
"LIT FOR LIFE INC","7111 DELLWOOD DRIVE, TAMPA, FL  33619"
"SILICON TEXANS","3001 S HARDIN BLVD STE 110 NO 202, MCKINNEY, TX  75070"
"RADICAL REMISSION FOUNDATION INC","PO BOX 333, IRVINGTON, NY  10533"
"DR DOCTOR TEACH ME HOW TO FISH FOUN","117 W 8TH STREET, JACKSONVILLE, FL  32206"
"LESBIAN GAY BISEXUAL AND TRANSGENDE","1 CHESTER RD, WALLINGFORD, PA  19086"
"WOMXNS MARCH DENVER","5761 S YOUNGFIELD STREET, LITTLETON, CO  80127"
"ITUS VIRTUS MOTORCYCLE CLUB MO HEAT","1736 E SUNSHINE SUITE 303 A, SPRINGFIELD, MO  65804"
"NICEVILLE TRACK CLUB","312 SPANISH MOSS TRL, DESTIN, FL  32541"
"LATIN AMERICAN AND CARIBBEAN COMMUN","409 MORRIS PARK AVE, BRONX, NY  10460"
"THE AQUATIC CLUB OF PASCO COUNTY","8760 NELSON POINT, FLORAL CITY, FL  34436"
"ONE TOUCH CHARITIES INC","2400 OLD MILTON PARKWAY UNIT 977, ALPHARETTA, GA  30009"
"PREVENTION AWARENESS UNDERTSANDING ","70 UPPER ROCK CIRCLE  227, ROCKVILLE, MD  20850"
"BLOOMFIELD YOUTH LEAGUE CORPORATION","PO BOX 530, BLOOMFIELD, IN  47424"
"SOUTH COUNTY GRAPPLERS INC","6880 LAWRENCE ROAD, LANTANA, FL  33462"
"EMERGE MINISTRIES","5013 PACIFIC DUNES DR, SUWANEE, GA  30024"
"KIDS TO KIDS BR","12485 QUEENSBURY AVENUE, BATON ROUGE, LA  70815"
"OKC BRONCOS BASEBALL FOUNDATION","1111 N POST ROAD, OKLAHOMA CITY, OK  73130"
"THE CHILDREN OF BULGARIA INC","66 GLENDALE AVENUE, LIVINGSTON, NJ  7039"
"SPRINGVILLE COMMUNITY CHORALE INC","14640 GROTE RD, SPRINGVILLE, NY  14141"
"DISTRICT MAKERS COLLECTIVE","5034 WISCONSIN AVE NW SUITE 200, WASHINGTON, DC  20016"
"RETRO GAME BOARDS INC","370 EAST 76TH STREET APT B1008, NEW YORK, NY  10021"
"BRIGHT BUDDHIST ASSOCIATION WATCHAN","7728 STATE ROUTE 92, LAKE STEVENS, WA  98258"
"THE PAUL OLIVER FOUNDATION INC","1720 MARS HILL RD STE 120-319, ACWORTH, GA  30101"
"KALAMAZOO NONPROFIT ADVOCACY COALIT","315 W MICHIGAN AVE, KALAMAZOO, MI  49007"
"INTERNATIONAL FRIENDSHIP CENTER","3015 S 82ND AVENUE, OMAHA, NE  68124"
"BANNING HIGH ALUMNI PICNIC","1840 SOUTH GAFFEY STREET SUITE 517, SAN PEDRO, CA  90731"
"RABBI PESACH HALEVI INCORPORATED","80 W HOUSATONIC STREET, PITTSFIELD, MA  1201"
"SEED2HARVEST","1601 VENDOME DR S, COLUMBUS, OH  43219"
"BOTHELL BASEBALL ALUMNI ASSOCIATION","2125 237TH PL SE, BOTHELL, WA  98021"
"RAINBOWS REIGN INC","1918 WRIGHTS WAY, JONESBORO, GA  30236"
"FLIPS FOR FUN GYMNASTICS","2635 LAVERNE DR, LAKE HAVASU CITY, AZ  86404"
"LEMON BAY COMMUNITY ACADEMIC PARTNE","PO BOX 584, ENGLEWOOD, FL  34295"
"TAFT FOOTBALL FAMILY BOOSTER CLUB L","6530 W BRYN MAWR AVE, CHICAGO, IL  60631"
"STRIVING TOGETHER AND REVEALING STR","3817 EAST IVA STREET, COMPTON, CA  90221"
"FARMSHIRE ANIMAL SANCTUARY","63 DRIFTER DR, CLYDE, NC  28721"
"HEART OF THE OZARKS WORKING DOG CLU","2388 RUMLEY ROAD, LESLIE, AR  72645"
"CORNERSTONE CHILDRENS HOME INC","36605 E 71ST ST S, BROKEN ARROW, OK  74014"
"WICHITA SUDBURY SCHOOL","1914 N SAINT PAUL, WICHITA, KS  67203"
"L HARDING FOUNDATION","2914 MACKEY DRIVE, FALLBROOK, CA  92028"
"DOMINICAN LAW ENFORCEMENT OFFICERS ","1001 BRICKELL BAY DRIVE SUITE 2700, MIAMI, FL  33131"
"THE HUMAN AND EQUINE SANCTUARY INC","2008 HERITAGE WELL LANE, PFLUGERVILLE, TX  78660"
"KANSAS CITY ATHLETIC CHEER BOOSTER ","6855 W 152ND TER, OVERLAND PARK, KS  66223"
"HMANDB4LIFE INC","1825 SONNET DRIVE, GRAPEVINE, TX  76051"
"J CHERRY FOUNDATION INC","186 JOBS POND ROAD, PORTLAND, CT  6480"
"THE RILEY CENTER INC","4040 W 71ST STREET, INDIANAPOLIS, IN  46268"
"OYMH CEMETERY ASSOCIATION","86 HILL RD, ALLENTOWN, NJ  8501"
"DELILAHS 2ND CHANCE","4298 SW CARL STREET, PORT SAINT LUCIE, FL  34953"
"AMBER VOLK MEMORIAL FOUNDATION","1628 W IRVING PARK ROAD APT 3W, CHICAGO, IL  60613"
"IMPACT SYSTEMS BUIDLERS CORPORATION","700 EAST BIRCH STREET 10072, BREA, CA  92822"
"HAMPTON ROADS CAPITAL LENDING","3637 SEA GULL ROAD, VIRGINIA BEACH, VA  23452"
"COLLABORATIVE COMMUNITY INITIATIVE","4035 WASHINGTON AVE, NEW ORLEANS, LA  70125"
"CATONSVILLE WOMENS GIVING CIRCLE","PO BOX 3263, CATONSVILLE, MD  21228"
"JAMESTOWNE SOCIETY FIRST COLORADO","8021 S MARSHALL CT, LITTLETON, CO  80128"
"SOUTHEASTERN OHIO SINNERS N SAINTS ","4177 EAST STATE ROUTE 60 NE, MCCONNELSVILLE, OH  43756"
"JEANETTE LEVINE BRIDAL GEMACH INC","3325 WATER OAK STREET, HOLLYWOOD, FL  33312"
"THE VALERIO FOUNDATION","670 S 11TH STREET, SAN JOSE, CA  95112"
"KINGDOM LOW-VOLTAGE APPRENTICESHIP ","3943 TONYA MARIE LANE, BARTLETT, TN  38135"
"ALLAMANDA GARDEN CLUB OF NORTH PORT","4483 PERSIAN LANE, NORTH PORT, FL  34287"
"SOCIETY OF ST VINCENT DE PAUL - ST ","535 SNEED ROAD WEST, FRANKLIN, TN  37069"
"SARAH KOKRO AMARA FOUNDATION","26 MORO DRIVE, HAMILTON, NJ  8619"
"THINK PAWS-ITIVE FOUNDATION INC","214 SMITH STREET, HENDERSON, TX  75654"
"ENSEMBLE CONCEPT-21","2220 TRAILRIDGE S, MISHAWAKA, IN  46544"
